artist,title,text,label
Adele,Hello,"231 ContributorsTranslationsTürkçeEnglishPortuguêsEspañolFrançaisBahasa IndonesiaالعربيةDeutschΕλληνικάHello LyricsAlmost five years after her groundbreaking 21, Adele examines the past and tries to right her wrongs on “Hello.” On the surface, the song appears to be about a break-up from long ago, but the song can also be… Read More [Verse 1] Hello, it's me I was wondering if after all these years, you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healin' Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet [Pre-Chorus] There's such a difference between us And a million miles [Chorus] Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for br",romantic
Adele,Rolling in the Deep,"123 ContributorsTranslationsFrançaisEspañolPortuguêsΕλληνικάفارسیTürkçeفارسیItalianoDeutschالعربيةRolling in the Deep LyricsThe 2012 song and record of the Year at the Grammy’s, “Rolling In The Deep” was described in an interview with Spin Magazine as a ‘gospel disco’ kiss-off to an unfaithful dude: It’s me saying, ‘Get the fuck… Read More [Verse 1] There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark Finally, I can see you crystal clear Go ahead and sell me out and I'll lay your shit bare See how I'll leave with every piece of you Don't underestimate the things that I will do There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark [Pre-Chorus] The scars of your love remind me of us They keep me thinkin' that we almost had it all The scars of your love, they leave me breathless I can't help feeling [Chorus] We could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fal",romantic
Adele,Set Fire to the Rain,"92 ContributorsTranslationsEspañolBahasa MelayuFrançaisالعربيةDeutschPortuguêsItalianoTürkçeČeskySet Fire to the Rain Lyrics“Set Fire To The Rain” talks about a relationship coming to an end. Girl meets guy, he is wonderful and she falls really quickly. He tells her all of these amazing things, but really they were all a lie and… Read More [Verse 1] I let it fall, my heart And as it fell, you rose to claim it It was dark, and I was over Until you kissed my lips and you saved me My hands, they were strong But my knees were far too weak To stand in your arms Without falling to your feet [Pre-Chorus] But there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win [Chorus] But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screamin' out your name Your name [Verse 2] When I lay with you I could stay there, close my eyes Fe",romantic
Adele,Someone Like You,"170 ContributorsTranslationsEnglishΕλληνικάفارسیDeutschالعربيةFrançaisTürkçeSomeone Like You Lyrics“Someone Like You” is the second single off of Adele’s sophomore album, 21. The track was inspired by the broken relationship that inspired most of 21. As the closing track of the album, lyrically, it speaks… Read More [Verse 1] I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the light [Pre-Chorus] I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over [Chorus] Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts",romantic
Adele,When We Were Young,"118 ContributorsTranslationsFrançaisفارسیالعربيةDeutschWhen We Were Young LyricsNewly-returned pop icon Adele worked with songwriter Tobias Jesso Jr. and producer Ariel Rechtshaid on the “‘70s styled shimmery disco ballad” “When We Were Young,” the second single from her album 25. She… Read More [Verse 1] Everybody loves the things you do From the way you talk to the way you move Everybody here is watching you 'Cause you feel like home, you're like a dream come true But, if by chance, you're here alone Can I have a moment before I go? 'Cause I've been by myself all night long Hoping you're someone I used to know [Pre-Chorus] You look like a movie, you sound like a song My God, this reminds me of when we were young [Chorus] Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realised We were sad of getting old, it made us restless It was just like a movie, it was just like a song [Verse 2] I was so scared to face my fears Nobod",romantic
Adele,All I Ask,"73 ContributorsTranslationsFrançaisEspañolPortuguêsAll I Ask Lyrics“All I Ask” is a song by British singer-songwriter Adele, written about a potentially final escapade in a failing relationship. It was written in collaboration with Bruno Mars, Brody Brown and Philip Lawrence… Read More [Verse 1] I will leave my heart at the door I won't say a word They've all been said before, you know So why don't we just play pretend Like we're not scared of what is coming next Or scared of having nothing left? [Pre-Chorus] Look, don't get me wrong I know there is no tomorrow All I ask is [Chorus] If this is my last night with you Hold me like I'm more than just a friend Give me a memory I can use Take me by the hand while we do What lovers do It matters how this ends 'Cause what if I never love again? [Verse 2] I don't need your honesty It's already in your eyes And I'm sure my eyes, they speak for me No one knows me like you do And since you're the only one that mattered Tell me, who do I run to? [",romantic
Adele,Skyfall,"99 ContributorsTranslationsEspañolDeutschPortuguêsالعربيةFrançaisTürkçeČeskyРусскийSkyfall Lyrics“Skyfall” is the theme song for the twenty-third James Bond film of the same name. In 2013, “Skyfall” won “Best Original Song” at the 70th Golden Globes and then Best Original Song at the 85th Academy… Read More [Verse 1] This is the end Hold your breath and count to ten Feel the Earth move, and then Hear my heart burst again For this is the end I've drowned and dreamt this moment So overdue, I owe them Swept away, I'm stolen [Chorus] Let the sky fall When it crumbles We will stand tall Face it all together Let the sky fall When it crumbles We will stand tall Face it all together at Skyfall At Skyfall [Verse 2] Skyfall is where we start A thousand miles and poles apart Where worlds collide and days are dark You may have my number, you can take my name But you'll never have my heart [Chorus] Let the sky fall (Let the sky fall) When it crumbles (When it crumbles) We will stand tall (We will s",romantic
Adele,Send My Love (To Your New Lover),"72 ContributorsTranslationsFrançaisEspañolPortuguêsTürkçeSend My Love (To Your New Lover) LyricsAdele wrote “Send My Love (To Your New Lover)” in collaboration with Max Martin and Shellback for her third album 25. Adele played guitar on the record, and it was this riff that began the song. She told the… Read More [Intro] Just the guitar, okay, cool [Verse 1] This was all you, none of it me You put your hands on, on my body and told me, mmm You told me you were ready For the big one, for the big jump I'd be your last love, everlasting, you and me, mmm That was what you told me [Pre-Chorus] I'm giving you up I've forgiven it all You set me free [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Verse 2] I was too strong, you were trembling You couldn't handle the hot heat rising (Rising",romantic
Adele,To Be Loved,"74 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsDeutschفارسیPolskiFrançaisСрпскиTo Be Loved Lyrics“To Be Loved” is the penultimate track on British singer Adele’s new album, 30. Instrumentally, the song is a simple, slow piano ballad with a BPM of 103. Lyrically, the ballad piano track describes how the… Read More [Verse 1] I built a house for a love to grow I was so young that it was hard to know I'm as lost now as I was back then Always make a mess of everything It's about time that I face myself All I do is bleed into someone else Painting walls with all my secret tears Filling rooms with all my hopes and fears [Pre-Chorus] But, oh my Oh my I'll never learn if I never leap I'll always yearn if I never speak [Chorus] To be loved and love at the highest count Means to lose all the things I can't live without Let it be known that I will choose to lose It's a sacrifice, but I can't live a lie Let it be known, let it be known that I tried [Verse 2] I'm so afraid, but I'm open wid",romantic
Ed Sheeran,Shape of You,"365 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةPolski한국어СрпскиShape of You LyricsEd Sheeran released “Shape of You” together with “Castle On The Hill.” The two songs were the first releases from his third album, ÷ (Divide), following in the mathematical footsteps of his + (Plus) and x… Read More [Verse 1] A club isn't the best place to find a lover So the bar is where I go (Mm) Me and my friends at the table doin' shots Drinkin' fast and then we talk slow (Mm) And you come over and start up a conversation with just me And trust me, I'll give it a chance now (Mm) Take my hand, stop, put Van the Man on the jukebox And then we start to dance, and now I'm singin' like [Pre-Chorus] Girl, you know I want your love Your love was handmade for somebody like me Well, come on now, follow my lead I may be crazy, don't mind me Say, ""Boy, let's not talk too much"" Grab on my waist and put that body on me Well, come on now, follow my lead Come, come on now, fol",romantic
