text,label
"This hypothetical language, which bears the same ancestral relation to the historic Germanic dialects that Latin bears to the Romance tongues, is known simply as _Germanic_ (Gmc.), or as _Primitive Germanic_. Ability to reconstruct Germanic forms is not expected of the students of this book, but the following table should be examined as illustrating the basis of distinction among the several Old English declensions (O.E. = Old English, Mn.E. = Modern English):",romantic
"18. The verbs of the Weak Conjugation (the so-called Regular Verbs of Modern English) form their preterit and past participle by adding to the present stem a suffix[6] with _d_ or _t_: Modern English _love_, _loved_; _sleep_, _slept_.",romantic
"[Footnote 6: The theory that _loved_, for example, is a fused form of _love-did_ has been generally given up. The dental ending was doubtless an Indo-Germanic suffix, which became completely specialized only in the Teutonic languages.]",romantic
"Inversion is employed (_b_) in interrogative sentences: #Lufast ðū mē?# _Lovest thou me?_ and (_c_) in imperative sentences: #Cume ðīn rīce#, _Thy kingdom come_.",romantic
"A preposition governing the word modified by the genitive, precedes the genitive:[2] #On ealdra manna sægenum#, _In old men’s sayings_; #Æt ðǣra strǣta ęndum#, _At the ends of the streets_ (literally, _At the streets’ ends_); #For ealra ðīnra hālgena lufan#, _For all thy saints’ love_. See, also, § 94, (5).",romantic
"sēo brycg, _bridge_. sēo costnung, _temptation_. sēo cwalu, _death_ [quail, quell]. sēo fōr, _journey_ [faran]. sēo frōfor, _consolation, comfort_. sēo geoguð, _youth_. sēo glōf, _glove_. sēo hālignes[1], _holiness_. sēo heall, _hall_. hēr, _here_. hwā, _who_? hwǣr, _where_? sēo lufu, _love_. sēo mearc, _boundary_ [mark, marches[2]]. sēo mēd, _meed, reward_. sēo mildheortnes, _mild-heartedness, mercy_. sēo stōw, _place_ [stow away]. ðǣr, _there_. sēo ðearf, _need_. sēo wylf, _she wolf_.",romantic
II. 1. We shall have the women’s gloves. 2. Where is the place? 3. He will be in the hall. 4. Those (#Ðæt#) were not the boundaries of the kingdom. 5. It was not I. 6. Ye are not the king’s scribes. 7. The shepherd’s words are full (#full# + gen.) of wisdom and comfort. 8. Where are the bodies of the children? 9. The gifts are not here. 10. Who has the seals and the birds?,romantic
"II. 1. We shall bind him. 2. Who chooses the child’s gifts? 3. “He was not here,” says she. 4. Wilt thou remain in the hall? 5. The wolves are biting (= bite) the fishermen. 6. He enjoys[5] the love of his children. 7. Do you enjoy (= Enjoyest thou) the consolation and friendship of the scribe? 8. Will he come? 9. I shall throw the spear, and thou wilt bear the weapons. 10. The king’s son will become king. 11. The army (#werod#) is breaking the doors and walls of the house.",romantic
"sē adesa, _hatchet, adze_. sē ǣmetta, _leisure_ [empt-iness]. sē bǫna (bana), _murderer_ [bane]. sēo cirice, _church_ [Scotch kirk]. sē cnapa (later, #cnafa#), _boy_ [knave]. sē cuma, _stranger_ [comer]. ðæt ēare, _ear_. sēo eorðe, _earth_. sē gefēra, _companion_ [co-farer]. sē guma, _man_ [bride-groom[1]]. sēo heorte, _heart_. sē mōna, _moon_. sēo nǣdre, _adder_ [a nadder > an adder[2]]. sē oxa, _ox_. sē scēowyrhta, _shoe-maker_ [shoe-wright]. sēo sunne, _sun_. sē tēona, _injury_ [teen]. biddan (with dat. of person and gen. of thing[3]), _to request, ask for_. cwelan, _to die_ [quail]. gescieppan, _to create_ [shape, land-scape, friend-ship]. giefan (with dat. of indirect object), _to give_. healdan, _to hold_. helpan (with dat.), _to help_. scęððan[4] (with dat.), _to injure_ [scathe]. wiðstǫndan (-standan) (with dat.), _to withstand_. wrītan, _to write_.",romantic
"eard-ian, eard-ode, geeard-od, _to dwell_ [eorðe]. luf-ian, luf-ode, geluf-od, _to love_ [lufu]. rīcs-ian, rīcs-ode, gerīcs-od, _to rule_ [rīce]. sealf-ian, sealf-ode, gesealf-od, _to anoint_ [salve]. segl-ian, segl-ode, gesegl-od, _to sail_ [segel].",romantic
